agency_name,n_routes,total_trips,mean_trips_per_route,max_trips
Mendip Community Transport,2,33,16.5,31
Docklands Buses,2,818,409.0,409
Dunnett's Transport,2,11,5.5,8
James Bevan,2,4,2.0,2
Edward Thomas,2,19,9.5,17
Jonathan Boyd,2,32,16.0,20
Jones Login,2,6,3.0,4
Eifion's Coaches,2,21,10.5,16
K and K Transport,2,9,4.5,5
Ellenvale Coaches,2,10,5.0,8
Northlink Ferries,2,36,18.0,28
North Area Transport Association,2,16,8.0,8
Evolve Bus & Coach,2,38,19.0,20
"New Bharat Coaches (Southall, London)",2,6,3.0,4
FIRST CAPITAL EAST LIMI,2,547,273.5,277
Hawkes Coaches,2,6,3.0,4
Haines Coaches,2,4,2.0,2
Mudeford Ferry,2,312,156.0,252
Moving People,2,48,24.0,27
L & G Coaches,2,4,2.0,2
Millport Motors,2,314,157.0,267
Grindles Coaches,2,4,2.0,2
Lochaber Action on Disability,2,15,7.5,11
Mersey Ferries,2,72,36.0,46
Holmeswood Coaches Ltd,2,110,55.0,55
Gatwick Hoppa,2,80,40.0,71
Glenfarg Community Transport Group,2,86,43.0,44
MacLeod's Coaches,2,13,6.5,10
MacDonald's Coaches,2,15,7.5,12
Duck Tours,2,8,4.0,4
M & R Travel,2,4,2.0,2
Islay Coaches,2,80,40.0,48
Peter Hodgson Travel,2,9,4.5,7
Premier Coaches,2,31,15.5,28
R & J Coaches,2,4,2.0,2
Isle of Hoy Development Trust,2,22,11.0,18
Denbighshire Council,2,16,8.0,12
Peter MacLennan,2,49,24.5,45
Peter's Minibus Hire,2,40,20.0,24
Reays Coaches,2,10,5.0,5
Redwing Coaches,2,13,6.5,8
R G Jamieson & Son,2,22,11.0,18
A and J Taxis,1,153,153.0,153
Hadlow Rural Community School,1,3,3.0,3
Lakeland Coaches,1,6,6.0,6
Hovertravel,1,80,80.0,80
Lakeside Coaches,1,23,23.0,23
Leadhills and Wanlockhead Railway,1,16,16.0,16
Lewis Taxi,1,2,2.0,2
Andrew's,1,18,18.0,18
Ardlui Hotel,1,114,114.0,114
A2B Cars (Maesteg),1,10,10.0,10
H Semmence & Co.,1,2,2.0,2
Hunter Cabs & Mini Buses,1,3,3.0,3
Liverpool City Sights,1,36,36.0,36
Whites Coaches,1,4,4.0,4
A C Williams,1,2,2.0,2
Zero2 Bus Museum,1,11,11.0,11
Ulva Ferry,1,136,136.0,136
Lochcarron Garage,1,4,4.0,4
Grenitote Travel,1,10,10.0,10
London Tramlink,1,1880,1880.0,1880
Arisaig Marine,1,30,30.0,30
Thomas Herbert Jones & Partners,1,68,68.0,68
Green Line (operated by Arriva),1,480,480.0,480
Astons Coaches,1,16,16.0,16
Gosport-Portsmouth Ferry,1,888,888.0,888
Lucketts of Watford,1,72,72.0,72
Historic Scotland,1,78,78.0,78
A & J Coaches,1,2,2.0,2
Ugobus,1,54,54.0,54
Kevin's Coaches,1,3,3.0,3
Highland Ferries,1,18,18.0,18
Wilsons Buses,1,80,80.0,80
AK Transport,1,2,2.0,2
J R Services,1,4,4.0,4
Western Isles Cruises,1,107,107.0,107
Hebridean Transport,1,36,36.0,36
Western Ferries,1,557,557.0,557
Hebridean MiniBus Service,1,12,12.0,12
Heatons Coaches,1,2,2.0,2
Jacksons of Silsden Ltd,1,24,24.0,24
Aberdeenshire Council,1,8,8.0,8
Johnson Transport,1,12,12.0,12
J A & G D Nicolson,1,17,17.0,17
Itchenor Ferry,1,72,72.0,72
Wilma Ann Nicolson,1,12,12.0,12
BK Marine,1,2,2.0,2
K&P Coaches,1,114,114.0,114
IFS Cloud Cable Car,1,1016,1016.0,1016
Woolwich Free Ferry,1,128,128.0,128
WMV Motor Hirer,1,19,19.0,19
Hedge The Distance,1,2,2.0,2
WM Travel,1,4,4.0,4
Iain McGregor,1,153,153.0,153
WESTlink,1,12,12.0,12
KP Cabs,1,24,24.0,24
Keepings Coaches,1,68,68.0,68
Keith and Dufftown Railway,1,6,6.0,6
Village & Valleys Travel,1,2,2.0,2
Vickery's Coaches,1,2,2.0,2
Kempsford Transport UK Ltd,1,22,22.0,22
J R Dent Coaches,1,2,2.0,2
Hayling Ferry Limited,1,174,174.0,174
Air-Rail Link,1,3786,3786.0,3786
Cruisers,1,12,12.0,12
Gem Travel,1,2,2.0,2
Plymouth Boat Trips,1,254,254.0,254
Clynnog & Trefor / Berwyn Coaches,1,74,74.0,74
Pentland Ferries,1,18,18.0,18
Skye Ferry,1,228,228.0,228
Climate Action Strathaven,1,62,62.0,62
Paul's Travel,1,4,4.0,4
Padstow Harbour Commissioners,1,306,306.0,306
South Ayrshire Community Transport,1,20,20.0,20
South Somerset Community Transport,1,16,16.0,16
Chepstow Classic Buses,1,2,2.0,2
Edinburgh Trams,1,893,893.0,893
Orkney Travel,1,2,2.0,2
Cavern City Tours,1,14,14.0,14
Operator,1,4,4.0,4
St Mawes Ferry,1,100,100.0,100
Number Seven Boat Trips,1,358,358.0,358
Peyton Travel,1,8,8.0,8
Sheffield Community Transport,1,42,42.0,42
Cairn Valley Community Transport,1,2,2.0,2
Dartmouth Higher Ferry,1,558,558.0,558
Cowes Ferry,1,1332,1332.0,1332
River Link,1,684,684.0,684
Reading RailAir,1,630,630.0,630
D M K Motors,1,20,20.0,20
SPT Subway,1,870,870.0,870
Salcombe Ferry,1,206,206.0,206
Quality Line,1,52,52.0,52
Sandbanks Ferry,1,588,588.0,588
Dan's Coach Travel,1,13,13.0,13
Community Transport South Wiltshire,1,31,31.0,31
Scoraig Ferry,1,10,10.0,10
Prentice Westwood,1,8,8.0,8
Scraggs,1,16,16.0,16
"Polruan Passenger Ferry, Bodinnick Vehicle Ferry",1,762,762.0,762
Polruan Ferry Co Ltd,1,419,419.0,419
Nottingham Express Transit (Tram),1,1513,1513.0,1513
CVS Ltd,1,1,1.0,1
Tendring Community Transport,1,18,18.0,18
Stringers,1,43,43.0,43
Flagfinders,1,9,9.0,9
Flushing Ferry,1,90,90.0,90
Minibus Plus.com,1,10,10.0,10
Sweeneys Cruises,1,12,12.0,12
Mikro Coaches,1,10,10.0,10
Forge Travel,1,22,22.0,22
GM Buses,1,21,21.0,21
Galson Motors,1,6,6.0,6
Gatwick Airport inter-terminal Shuttle,1,492,492.0,492
Tamar Bridge & Torpoint Ferry Joint Committee,1,1137,1137.0,1137
Martins Car Hire,1,8,8.0,8
Taunton Minibuses,1,4,4.0,4
Bayliss Executive Travel,1,4,4.0,4
Banga Buses,1,165,165.0,165
Balmaha Boatyard,1,96,96.0,96
Mountain Goat Holidays and Tours,1,8,8.0,8
Strathspey Steam Railway,1,6,6.0,6
Nexus Ferry,1,218,218.0,218
Stowmarket Minibus and Coach Hire,1,4,4.0,4
Nauticalia Ferry,1,207,207.0,207
Fal River Links,1,410,410.0,410
Fareline Bus & Coach Services,1,2,2.0,2
Bournemouth Boating Services,1,108,108.0,108
Bournemouth Boating Ser,1,36,36.0,36
Ferryhill Village Travel,1,3,3.0,3
Boultons of Shropshire,1,10,10.0,10
Bo'ness and Kinneil Railway,1,32,32.0,32
NBM Hire Ltd,1,11,11.0,11
NATIONAL EXPRESS OPERAT,1,6,6.0,6
Station Taxis,1,4,4.0,4
Steam Ship Sir Walter Scott,1,12,12.0,12
Steer Community Transport,1,3,3.0,3
N N Cresswell,1,10,10.0,10
Mountbatten Water Taxis,1,189,189.0,189
united minibuses and coaches ltd,1,33,33.0,33
